Manufacturers,Model,Description,Transmission,Engine Capacity,Fuel Type,Metric Urban (cold),Metric Extra-urban,Metric Combined,Imperial (cold),Imperial Extra-urban,Imperial Combined,CO2 g/km,Fuel Cost 6000 Miles,Euro Standard,Noise Level dB(A),Emissions CO,Emissions HC+NOx,Emissions HC,Emissions NOx,Emissions Particulates
SUBARU,Forester (2001 Model Year),2.0 AWD 5 Door,A4,1994,Petrol,13.6,7.6,9.8,20.8,37.2,28.8,232,758,III,71.0,0.780,0.140,0.120,0.020,0.000
SUBARU,Forester (2001 Model Year),2.0 AWD S Turbo 5 Door,M5,1994,Petrol,14.6,8.2,10.6,19.3,34.4,26.7,251,817,III,71.5,0.890,0.120,0.080,0.040,0.000
SUBARU,Forester (2001 Model Year),2.0 AWD S Turbo 5 Door,A4,1994,Petrol,14.9,8.3,10.7,19.0,34.0,26.4,254,827,III,70.0,0.540,0.160,0.120,0.040,0.000
SUZUKI,Wagon R+,1.3 GL,5MT,1298,Petrol,7.8,5.1,6.1,36.2,55.4,46.3,145,471,III,71.0,0.223,0.053,0.034,0.019,0.000
SUZUKI,Wagon R+,1.3 GL (A),4AT,1298,Petrol,8.9,5.8,6.9,31.7,48.7,40.9,166,534,III,68.0,0.247,0.054,0.036,0.018,0.000
TOYOTA,Yaris,1.0 VVT-i S & GS,M5,998,Petrol,6.8,5.0,5.6,41.5,56.5,50.4,134,433,III,69.0,0.910,0.170,0.150,0.020,0.000
TOYOTA,Yaris,1.0 VVT-i GLS & CDX,M5,998,Petrol,6.9,5.1,5.7,40.9,55.4,49.6,137,440,III,69.0,0.910,0.170,0.150,0.020,0.000
TOYOTA,Yaris,1.3 VVT-i,M5,1299,Petrol,7.7,5.0,6.0,36.7,56.5,47.1,144,463,III,70.0,0.880,0.140,0.100,0.040,0.000
TOYOTA,Yaris,1.3 VVT-i,A4,1299,Petrol,8.8,5.5,6.7,32.1,51.4,42.2,160,517,III,70.0,0.700,0.170,0.120,0.050,0.000
TOYOTA,Yaris,Verso 1.3 VVT-i,M5,1299,Petrol,8.0,5.5,6.4,35.3,51.4,44.1,154,495,III,71.0,1.140,0.160,0.120,0.040,0.000
TOYOTA,Yaris,Verso 1.3 VVT-i,A4,1299,Petrol,8.9,5.8,6.9,31.7,48.7,40.9,165,534,III,70.0,0.910,0.190,0.140,0.050,0.000
TOYOTA,Corolla,1.4 VVT-i 3 door,M5,1398,Petrol,8.9,5.7,6.8,31.7,49.6,41.5,162,526,III,71.0,0.380,0.180,0.110,0.070,0.000
TOYOTA,Corolla,1.6 VVT-i 3 door,M6,1598,Petrol,9.8,6.1,7.4,28.8,46.3,38.2,176,571,III,73.0,0.840,0.180,0.130,0.050,0.000
TOYOTA,Corolla,1.4 VVT-i 5 door,M5,1398,Petrol,8.9,5.7,6.8,31.7,49.6,41.5,162,526,III,71.0,0.380,0.180,0.110,0.070,0.000
TOYOTA,Corolla,1.6 VVT-i 5 door,M5,1598,Petrol,9.1,5.9,7.0,31.0,47.9,40.4,168,540,III,71.0,0.800,0.000,0.130,0.050,0.000
TOYOTA,Corolla,1.6 VVT-i 5 door,A4,1598,Petrol,10.7,6.5,8.0,26.4,43.5,35.3,192,618,III,71.0,0.660,0.000,0.130,0.070,0.000
TOYOTA,Corolla,2.0 D4-D  5 door,M5,1995,Diesel,7.6,4.8,5.8,37.2,58.9,48.7,156,459,III,72.0,0.240,0.490,0.000,0.450,0.037
TOYOTA,Corolla,1.4 VVT-i Estate,M5,1398,Petrol,9.0,5.8,6.9,31.4,48.7,40.9,165,534,III,71.0,0.380,0.180,0.110,0.070,0.000
TOYOTA,Corolla,1.6 VVT-i Estate,M5,1598,Petrol,9.3,6.1,7.2,30.4,46.3,39.2,171,557,III,71.0,0.800,0.180,0.130,0.050,0.000
TOYOTA,Corolla,2.0 D4-D Estate,M5,1995,Diesel,7.6,4.9,5.9,37.2,57.6,47.9,157,467,III,72.0,0.240,0.490,0.000,0.450,0.037
TOYOTA,Avensis,1.6VVT-i 4 door,M5,1598,Petrol,9.5,5.6,7.0,29.7,50.4,40.4,168,540,III,73.0,0.970,0.000,0.120,0.090,0.000
TOYOTA,Avensis,1.6 VVT-i 5 door,M5,1598,Petrol,9.5,5.7,7.1,29.7,49.6,39.8,170,548,III,73.0,0.970,0.000,0.120,0.090,0.000
TOYOTA,Avensis,2.0 VVT-i 4/5 door,M5,1998,Petrol,10.5,6.0,7.6,26.9,47.1,37.2,181,587,III,73.0,0.520,0.000,0.080,0.020,0.000
TOYOTA,Avensis,2.0 VVT-i 4/5 door CDX,M5,1998,Petrol,10.6,6.1,7.7,26.6,46.3,36.7,184,595,III,73.0,0.520,0.000,0.080,0.020,0.000
TOYOTA,Avensis,2.0 VVT-i 4/5 door,A4,1998,Petrol,11.9,6.7,8.6,23.7,42.2,32.8,207,665,III,71.0,0.810,0.000,0.110,0.060,0.000
TOYOTA,Avensis,2.0 VVT-i 4/5 door CDX,A4,1998,Petrol,12.1,6.8,8.7,23.3,41.5,32.5,210,671,III,71.0,0.810,0.000,0.110,0.060,0.000
TOYOTA,Avensis,2.0 VVT-i Estate,M5,1998,Petrol,10.6,6.2,7.8,26.6,45.6,36.2,187,603,III,73.0,0.520,0.000,0.080,0.020,0.000
TOYOTA,Avensis,2.0 VVT-i Estate CDX,M5,1998,Petrol,10.8,6.3,7.9,26.2,44.8,35.8,189,610,III,73.0,0.520,0.000,0.080,0.020,0.000
TOYOTA,Avensis,2.0 VVT-i Estate,A4,1998,Petrol,12.1,6.9,8.8,23.3,40.9,32.1,214,680,III,71.0,0.810,0.000,0.110,0.060,0.000
TOYOTA,Avensis,2.0 D4-D 4/5 door S/Vermont,M5,1995,Diesel,8.0,4.7,5.8,35.3,60.1,48.7,155,459,III,73.0,0.330,0.520,0.000,0.490,0.044
TOYOTA,Avensis,2.0 D4-D 4/5 door,M5,1995,Diesel,8.0,4.8,5.9,35.3,58.9,47.9,158,467,III,73.0,0.330,0.520,0.000,0.490,0.044
TOYOTA,Avensis,2.0 D4-D Estate,M5,1995,Diesel,8.0,5.0,6.0,35.3,56.5,47.1,161,475,III,73.0,0.330,0.520,0.000,0.490,0.044
TOYOTA,RAV4,1.8 VVT-i Manual,M5,1784,Petrol,9.4,6.2,7.4,30.1,45.6,38.2,175,571,III,71.0,0.900,0.000,0.070,0.050,0.000
