Manufacturer,Model,Description,Transmission,Engine Capacity,Fuel Type,Metric Urban (Cold),Metric Extra-Urban,Metric Combined,Imperial Urban (Cold),Imperial Extra-Urban,Imperial Combined,CO2 g/km,Fuel Cost 12000 Miles,Noise Level dB(A),Emissions CO,Emissions HC,Emissions NOx,Emissions HC+NOx,Emissions Particulates,
HONDA,Jazz Model Year 2009,1.2 i-VTEC S-T 5 Door,M5,1198,Petrol,6.5,4.5,5.3,43.5,62.8,53.3,125,1146,69.0,0.310,0.051,0.018,,,
HONDA,Jazz Model Year 2009,1.2 i-VTEC SE 5 Door,M5,1198,Petrol,6.5,4.5,5.3,43.5,62.8,53.3,125,1146,69.0,0.310,0.051,0.018,,,
HONDA,Jazz Model Year 2009,1.2 i-VTEC SE-T 5 Door,M5,1198,Petrol,6.5,4.5,5.3,43.5,62.8,53.3,125,1146,69.0,0.310,0.051,0.018,,,
HONDA,Jazz Model Year 2009,1.4 i-VTEC ES 5 Door,M5,1339,Petrol,6.5,4.7,5.4,43.5,60.1,52.3,128,1168,69.0,0.230,0.038,0.013,,,
HONDA,Jazz Model Year 2009,1.4 i-VTEC ES 5 Door,A6,1339,Petrol,6.5,4.6,5.3,43.5,61.4,53.3,125,1146,68.0,0.330,0.042,0.025,,,
HONDA,Jazz Model Year 2009,1.4 i-VTEC ES-T 5 Door,M5,1339,Petrol,6.5,4.7,5.4,43.5,60.1,52.3,128,1168,69.0,0.230,0.038,0.013,,,
HONDA,Jazz Model Year 2009,1.4 i-VTEC ES-T 5 Door,A6,1339,Petrol,6.5,4.6,5.3,43.5,61.4,53.3,125,1146,68.0,0.330,0.042,0.025,,,
HONDA,Jazz Model Year 2009,1.4 i-VTEC EX 5 Door,M5,1339,Petrol,6.6,4.8,5.5,42.8,58.9,51.4,130,1189,69.0,0.270,0.052,0.021,,,
HONDA,Jazz Model Year 2009,1.4 i-VTEC EX 5 Door,A6,1339,Petrol,6.6,4.7,5.4,42.8,60.1,52.3,128,1168,68.0,0.340,0.043,0.017,,,
HONDA,Jazz Model Year 2009,1.4 i-VTEC EX-T 5 Door,M5,1339,Petrol,6.6,4.8,5.5,42.8,58.9,51.4,130,1189,69.0,0.270,0.052,0.021,,,
HONDA,Jazz Model Year 2009,1.4 i-VTEC EX-T 5 Door,A6,1339,Petrol,6.6,4.7,5.4,42.8,60.1,52.3,128,1168,68.0,0.340,0.043,0.017,,,
HONDA,Civic Model Year 2009,1.8 i-VTEC ES 5 Door,A5,1799,Petrol,10.0,5.8,7.3,28.2,48.7,38.7,169,1579,70.0,0.294,0.042,0.021,,,
HONDA,Civic Model Year 2009,1.8 i-VTEC ES GT 5 Door,A5,1799,Petrol,10.0,5.8,7.3,28.2,48.7,38.7,169,1579,70.0,0.294,0.042,0.021,,,
HONDA,Civic Model Year 2009,1.8 i-VTEC EX 5 Door,A5,1799,Petrol,10.0,5.8,7.3,28.2,48.7,38.7,169,1579,70.0,0.294,0.042,0.021,,,
HONDA,Civic Model Year 2009,1.8 i-VTEC EX GT 5 Door,A5,1799,Petrol,10.0,5.8,7.3,28.2,48.7,38.7,169,1579,70.0,0.294,0.042,0.021,,,
HONDA,Civic Model Year 2009,1.8 i-VTEC SE 5 Door,A5,1799,Petrol,9.8,5.6,7.1,28.8,50.4,39.8,165,1535,70.0,0.382,0.046,0.006,,,
HONDA,Civic Model Year 2009,1.8 i-VTEC Type S 3 Door,A6,1799,Petrol,8.4,5.2,6.4,33.6,54.3,44.1,152,1385,69.0,0.260,0.033,0.005,,,
HONDA,Civic Model Year 2009,1.8 i-VTEC Type S GT 3 Door,A6,1799,Petrol,8.4,5.2,6.4,33.6,54.3,44.1,152,1385,69.0,0.260,0.033,0.005,,,
