Manufacturer,Model,Description,Transmission,Engine Capacity,Fuel Type,Metric Urban (Cold),Metric Extra-Urban,Metric Combined,Imperial Urban (Cold),Imperial Extra-Urban,Imperial Combined,CO2 g/km,Fuel Cost 6000 Miles,Euro Standard,Noise Level dB(A),Emissions CO,Emissions HC+NOx,Emissions HC,Emissions NOx,Emissions Particulates,Date of change,
AUDI,Audi TT (Coupé),1.8 20v T Quattro (180 PS),QM6,1781,Petrol,13.1,7.6,9.5,21.6,37.2,29.7,228,661,III,74.0,1.0,,0.1,0.0,,20 March 2003,
AUDI,Audi TT (Coupé),1.8 20v T Quattro (225 PS),QM6,1781,Petrol,13.3,7.1,9.4,21.2,39.8,30.1,226,652,III,73.0,1.3,,0.1,0.1,,20 March 2003,
AUDI,Audi TT (Roadster),1.8 20v T Quattro (180 PS),QM6,1781,Petrol,13.2,7.7,9.6,21.4,36.7,29.4,230,668,III,74.0,1.0,,0.1,0.0,,20 March 2003,
AUDI,Audi TT (Roadster),1.8 20v T Quattro (225 PS),QM6,1781,Petrol,13.4,7.2,9.5,21.1,39.2,29.7,228,661,III,73.0,1.3,,0.1,0.1,,20 March 2003,
BENTLEY MOTORS LTD,Bentley,Continental R,A4,6761,Petrol,28.1,13.2,18.7,10.1,21.4,15.1,443,1301,III,73.5,,,,,,01 July 2001,
BENTLEY MOTORS LTD,Bentley,Azure,A4,6761,Petrol,27.5,14.2,19.0,10.3,19.9,14.9,456,1318,III,73.5,,,,,,01 July 2001,
BENTLEY MOTORS LTD,Bentley,Continental T,A4,6761,Petrol,28.1,13.2,18.7,10.1,21.4,15.1,443,1301,III,73.5,,,,,,01 July 2001,
BMW,Z4 Series E85,Z4 2.5i Roadster - SSG,M6,2494,Petrol,12.5,6.9,8.9,22.6,40.9,31.7,216,620,III,72.0,0.2,,0.1,0.0,,06 March 2003,
BMW,Z4 Series E85,Z4 2.5i Roadster,A5,2494,Petrol,13.5,7.3,9.5,20.9,38.7,29.7,231,661,III,72.0,0.2,,0.1,0.0,,06 March 2003,
BMW,Z4 Series E85,Z4 2.5i Roadster,M5,2494,Petrol,12.5,6.9,8.9,22.6,40.9,31.7,216,620,III,72.0,0.0,,0.1,0.0,,06 March 2003,
