Manufacturers,Model,Description,Transmission,Engine Capacity,Fuel Type,Metric Urban (cold),Metric Extra-urban,Metric Combined,Imperial (cold),Imperial Extra-urban,Imperial Combined,CO2 g/km,Fuel Cost 6000 Miles,Euro Standard,Noise Level dB(A),Emissions CO,Emissions HC+NOx,Emissions HC,Emissions NOx,Emissions Particulates
FIAT,Bravo Range,155 20v,M5,1998,Petrol,13.1,7.2,9.4,21.6,39.2,30.1,222,680,II,74.0,0.664,0.283,,,
FIAT,Bravo Range,TD 75,M5,1910,Diesel,8.5,5.1,6.3,33.2,55.4,44.8,168,475,II,72.5,0.407,0.658,,,0.069
FIAT,Bravo Range,JTD 105,M5,1910,Diesel,7.2,4.4,5.4,39.2,64.2,52.3,143,407,II,73.0,0.692,0.555,,,0.063
FIAT,Brava Range,80 16v,M5,1242,Petrol,9.5,5.4,6.9,29.7,52.3,40.9,164,500,II,71.5,0.629,0.210,,,
FIAT,Brava Range,100 16v,M5,1581,Petrol,10.8,6.1,7.8,26.2,46.3,36.2,186,565,II,72.0,0.306,0.248,,,
FIAT,Brava Range,100 16v,A4,1581,Petrol,12.8,7.1,9.2,22.1,39.8,30.7,218,666,II,72.0,1.281,0.116,,,
FIAT,Brava Range,115 16v,M5,1747,Petrol,11.5,6.6,8.4,24.6,42.8,33.6,199,609,II,73.5,0.613,0.338,,,
FIAT,Brava Range,TD 75,M5,1910,Diesel,8.6,5.2,6.4,32.8,54.3,44.1,171,482,II,72.5,0.407,0.658,,,0.069
FIAT,Brava Range,JTD 105,M5,1910,Diesel,7.3,4.5,5.5,38.7,62.8,51.4,146,414,II,73.0,0.692,0.555,,,0.063
FIAT,Multipla,100 16v,M5,1581,Petrol,11.1,7.2,8.6,25.4,39.2,32.8,205,624,II,73.5,0.494,0.329,,,
FIAT,Multipla,JTD 105,M5,1910,Diesel,8.0,5.5,6.4,35.3,51.4,44.1,170,482,II,75.0,0.496,0.554,,,0.060
FIAT,Ulysse Range,2.0 JTD,M5,1997,Diesel,8.4,5.6,6.7,33.6,50.4,42.2,182,504,II,72.2,0.174,0.772,,,0.054
FIAT,Scudo Combi,Scudo Combi 2.0 JTD,M5,1997,Diesel,7.9,5.4,6.4,35.8,52.3,44.1,171,482,II,74.7,0.246,0.723,,,0.048
FORD,Ka,1.3 EFi (13 inch tyre),M5,1299,Petrol,8.8,5.5,6.7,32.1,51.4,42.2,163,485,II,72.0,0.679,0.162,,,
FORD,Ka,1.3 EFi (14 inch tyre),M5,1299,Petrol,8.9,5.6,6.8,31.7,50.4,41.5,165,493,II,72.0,0.679,0.162,,,
FORD,Fiesta,1.3 EFi (non-PAS),M5,1299,Petrol,8.7,5.9,6.9,32.5,47.9,40.9,161,500,II,72.0,0.563,0.187,,,
FORD,Fiesta,1.3 EFi (13 inch tyre),M5,1299,Petrol,9.0,6.0,7.1,31.4,47.1,39.8,166,514,II,72.0,0.563,0.187,,,
FORD,Fiesta,1.3 EFi (14 inch tyre),M5,1299,Petrol,9.2,6.2,7.3,30.7,45.6,38.7,171,529,II,72.0,0.563,0.187,,,
FORD,Fiesta,1.25i 16V (13 inch tyre),M5,1242,Petrol,8.7,5.8,6.9,32.5,48.7,40.9,161,500,II,73.0,0.538,0.101,,,
FORD,Fiesta,1.25i 16V (14 inch tyre),M5,1242,Petrol,8.8,5.7,6.9,32.1,49.6,40.9,161,500,II,73.0,0.538,0.101,,,
FORD,Fiesta,1.25i 16V (13 inch tyre),A,1242,Petrol,9.3,5.8,7.1,30.4,48.7,39.8,167,514,II,71.0,1.073,0.144,,,
FORD,Fiesta,1.25i 16V (14 inch tyre),A,1242,Petrol,9.4,6.0,7.3,30.1,47.1,38.7,171,529,II,71.0,1.073,0.144,,,
FORD,Fiesta,1.4i 16V,M5,1388,Petrol,9.3,6.0,7.2,30.4,47.1,39.2,169,522,II,73.0,0.745,0.097
FORD,Fiesta,1.6i 16V,M5,1596,Petrol,9.5,6.0,7.3,29.7,47.1,38.7,171,529,II,71.0,0.526,0.124
FORD,Puma,1.4i 16V,M5,1388,Petrol,9.5,5.9,7.2,29.7,47.9,39.2,171,522,II,68.0,0.554,0.084
FORD,Puma,1.7i 16V,M5,1679,Petrol,9.7,6.1,7.4,29.1,46.3,38.2,178,536,II,74.0,0.533,0.097
FORD,Focus,1.4i 16V 3/5 Door Saloon (14 inch tyre),M5,1388,Petrol,8.5,5.2,6.4,33.2,54.3,44.1,153,464,II,71.0,0.275,0.097
FORD,Focus,1.4i 16V 3 Door Saloon (15 inch tyre),M5,1388,Petrol,8.9,5.6,6.8,31.7,50.4,41.5,162,493,II,71.0,0.275,0.097
FORD,Focus,1.6i 16V 4/5 Door Saloon/Estate (14 inch tyre),M5,1596,Petrol,9.4,5.6,7.0,30.1,50.4,40.4,167,506,II,69.0,0.374,0.140
FORD,Focus,1.6i 16V 3/4/5 Door Saloon/Estate (15 inch tyre),M5,1596,Petrol,9.4,5.7,7.1,30.1,49.6,39.8,169,514,II,69.0,0.374,0.140
FORD,Focus,1.6i 16V 4 Door Saloon (14 inch tyre),A4,1596,Petrol,10.9,6.0,7.8,25.9,47.1,36.2,186,565,II,70.0,0.474,0.175
FORD,Focus,1.6i 16V 5 Door Saloon (14 inch tyre),A4,1596,Petrol,10.9,6.1,7.8,25.9,46.3,36.2,188,565,II,70.0,0.474,0.175
FORD,Focus,1.6i 16V Estate (14 inch tyre),A4,1596,Petrol,11.1,6.2,8.0,25.4,45.6,35.3,191,580,II,70.0,0.474,0.175
FORD,Focus,1.6i 16V 3/4/5 Door Saloon (15 inch tyre),A4,1596,Petrol,11.2,6.2,8.0,25.2,45.6,35.3,192,580,II,70.0,0.474,0.175
FORD,Focus,1.6i 16V Estate (15 inch tyre),A4,1596,Petrol,11.2,6.4,8.1,25.2,44.1,34.9,195,586,II,70.0,0.474,0.175
FORD,Focus,1.8i 16V 5 Door Saloon (14 inch tyre),M5,1796,Petrol,10.3,6.0,7.6,27.4,47.1,37.2,181,550,II,71.0,0.230,0.126
FORD,Focus,1.8i 16V 4 Door Saloon (14 inch tyre),M5,1796,Petrol,10.3,5.9,7.5,27.4,47.9,37.7,179,543,II,71.0,0.230,0.126
