Manufacturers,Model,Description,Line_2,Transmission,Engine Capacity,Fuel Type,Metric Urban (cold),Metric Extra-urban,Metric Combined,Imperial (cold),Imperial Extra-urban,Imperial Combined,CO2 g/km,Fuel Cost 6000 Miles,Euro Standard,Noise Level dB(A),Emissions CO,Emissions HC+NOx,Emissions HC,Emissions NOx,Emissions Particulates
SKODA,Fabia Estate,2.0 MPI Elegance (115 bhp),,M5,1984,Petrol,11.2,6.0,7.9,25.2,47.1,35.8,190,571,IV,72.0,0.634,,0.055,0.046
SKODA,Fabia Saloon,1.4 16V (75 bhp),,A4,1390,Petrol,10.4,6.0,7.6,27.2,47.1,37.2,182,550,IV,71.0,0.199,,0.080,0.065
SKODA,Fabia Saloon,1.4 16V (100 bhp),,M5,1390,Petrol,9.7,5.6,7.1,29.1,50.4,39.8,170,514,IV,73.0,0.615,,0.089,0.020
SKODA,Octavia Hatch,1.4 MPI 16V Classic (75 bhp),,M5,1390,Petrol,9.1,5.5,6.8,31.0,51.4,41.5,163,493,IV,71.0,0.121,,0.074,0.040
SKODA,Octavia Hatch,1.6 MPI Ambiente & Classic Models (102 bhp),,M5,1595,Petrol,10.0,5.6,7.2,28.2,50.4,39.2,173,522,IV,72.0,0.718,,0.053,0.033
SKODA,Octavia Hatch,2.0 MPI Elegance & Ambiente Models (115 bhp),,M5,1984,Petrol,11.3,6.2,8.1,25.0,45.6,34.9,194,586,IV,73.0,0.795,,0.068,0.029
SKODA,Octavia Hatch,1.8 20v Turbo Elegance (150 bhp),,M5,1781,Petrol,10.8,6.3,8.0,26.2,44.8,35.3,192,580,IV,71.0,0.667,,0.054,0.030
SKODA,Octavia Hatch,1.8 20v Turbo Elegance (150 bhp),,A4,1781,Petrol,12.9,7.0,9.1,21.9,40.4,31.0,218,660,IV,71.0,0.775,,0.051,0.026
SKODA,Octavia Hatch,1.8 20v Turbo RS (180 bhp),,M5,1781,Petrol,10.8,6.4,8.0,26.2,44.1,35.3,192,580,IV,72.0,0.775,,0.065,0.019
SKODA,Octavia Hatch,1.8 20v Turbo Laurin & Klement Models (150 bhp),,M5,1781,Petrol,10.8,6.3,8.0,26.2,44.8,35.3,192,580,IV,71.0,0.667,,0.054,0.030
SKODA,Octavia Hatch,1.8 20v Turbo Laurin & Klement Models (150 bhp),,A4,1781,Petrol,12.9,7.0,9.1,21.9,40.4,31.0,218,660,IV,71.0,0.775,,0.051,0.026
SKODA,Octavia Estate,1.6 MPI Ambiente & Classic Models (102 bhp),,M5,1595,Petrol,10.0,5.6,7.2,28.2,50.4,39.2,173,522,IV,72.0,0.718,,0.053,0.033
SKODA,Octavia Estate,2.0 MPI Elegance & Ambiente Models (115 bhp),,M5,1984,Petrol,11.3,6.2,8.1,25.0,45.6,34.9,194,586,IV,73.0,0.795,,0.068,0.029
SKODA,Octavia Estate,1.8 20v Turbo Elegance (150 bhp),,M5,1781,Petrol,10.8,6.3,8.0,26.2,44.8,35.3,192,580,IV,71.0,0.667,,0.054,0.030
SKODA,Octavia Estate,1.8 20v Turbo Elegance (150 bhp),,A4,1781,Petrol,13.0,7.1,9.2,21.7,39.8,30.7,221,666,IV,71.0,0.775,,0.051,0.026
SKODA,Octavia Estate,1.8 20v Turbo Laurin & Klement Models (150 bhp),,M5,1781,Petrol,10.8,6.3,8.0,26.2,44.8,35.3,192,580,IV,71.0,0.667,,0.054,0.030
TOYOTA,Avensis,1.8 VVT-i 4 door,,M5,1794,Petrol,9.9,6.0,7.4,28.5,47.1,38.2,172,536,IV,73.0,0.540,,0.040,0.020
TOYOTA,Avensis,1.8 VVT-i 4 door CDX,,M5,1794,Petrol,9.9,6.0,7.4,28.5,47.1,38.2,176,536,IV,73.0,0.540,,0.040,0.020
TOYOTA,Avensis,1.8 VVT-i 5 door,,M5,1794,Petrol,9.9,6.0,7.4,28.5,47.1,38.2,176,536,IV,73.0,0.540,,0.040,0.020
TOYOTA,Avensis,1.8 VVT-i 4/5 door,,A4,1794,Petrol,11.0,6.4,8.1,25.7,44.1,34.9,194,586,IV,71.0,0.390,,0.060,0.010
